27.9765	13	14.2727272727273
28.0069	15	13.8181818181818
28.0372	24	14.1818181818182
28.0675	14	14.2727272727273
28.0978	11	14.4545454545455
28.1281	14	14.6363636363636
28.1584	15	15.1818181818182
28.1888	14	14.9090909090909
28.2191	14	13.8181818181818
28.2494	16	14.0909090909091
28.2797	11	14.7272727272727
28.31	19	14.8181818181818
28.3404	12	15
28.3707	12	14.7272727272727
28.401	17	14.2727272727273
28.4313	18	13.6363636363636
28.4616	15	14.1818181818182
28.492	17	14.1818181818182
28.5223	11	14.1818181818182
28.5526	9	14.3636363636364
28.5829	9	14
28.6132	17	14.3636363636364
28.6435	19	13.8181818181818
28.6739	12	14
28.7042	14	14.3636363636364
28.7345	13	15.4545454545455
28.7648	22	17
28.7951	9	17.9090909090909
28.8255	19	18.0909090909091
28.8558	15	19.0909090909091
28.8861	21	19.6363636363636
28.9164	26	21.4545454545455
28.9467	27	22.5454545454545
28.9771	21	25.9090909090909
29.0074	23	28.0909090909091
29.0377	20	30.2727272727273
29.068	33	33.0909090909091
29.0983	34	35.0909090909091
29.1287	46	36
29.159	43	36.3636363636364
29.1893	39	37.9090909090909
29.2196	52	40.6363636363636
29.2499	48	41.0909090909091
29.2802	37	42.2727272727273
29.3106	25	42
29.3409	40	42.0909090909091
29.3712	50	42.2727272727273
29.4015	38	41.5454545454545
29.4318	47	40.0909090909091
29.4622	43	39.4545454545455
29.4925	44	41
29.5228	41	40.8181818181818
29.5531	44	39.3636363636364
29.5834	32	38.7272727272727
29.6138	30	37.6363636363636
29.6441	42	36.4545454545455
29.6744	38	34.8181818181818
29.7047	34	34.2727272727273
29.735	31	31.7272727272727
29.7654	35	31.2727272727273
29.7957	30	30.6363636363636
29.826	26	28.5454545454545
29.8563	35	27
29.8866	16	25.1818181818182
29.9169	27	24.2727272727273
29.9473	23	22.8181818181818
29.9776	19	21.4545454545455
30.0079	21	19.9090909090909
30.0382	14	17.7272727272727
30.0685	21	17.5454545454545
30.0989	19	16.0909090909091
30.1292	15	15.5454545454545
30.1595	9	14.8181818181818
30.1898	11	14.0909090909091
30.2201	14	13.4545454545455
30.2505	11	13.0909090909091
30.2808	17	12.0909090909091
30.3111	11	11.6363636363636
30.3414	13	12.3636363636364
30.3717	7	12.2727272727273
30.4021	17	11.6363636363636
30.4324	8	11.3636363636364
30.4627	10	10.5454545454545
30.493	17	10.2727272727273
30.5233	10	10.1818181818182
30.5536	7	10
30.584	8	9.18181818181818
30.6143	8	9.63636363636364
30.6446	8	9.45454545454546
30.6749	12	8.81818181818182
30.7052	5	8.72727272727273
30.7356	8	8.90909090909091
30.7659	13	9.27272727272727
30.7962	8	9.36363636363636
30.8265	10	9.90909090909091
30.8568	9	9.63636363636364
30.8872	9	9.90909090909091
30.9175	12	9.81818181818182
30.9478	9	9.81818181818182
30.9781	14	10.0909090909091
31.0084	9	10.3636363636364
31.0388	8	10.0909090909091
31.0691	7	9.81818181818182
31.0994	13	9.18181818181818
31.1297	11	9.63636363636364
31.16	13	8.81818181818182
31.1903	6	9.09090909090909
31.2207	6	9.18181818181818
31.251	5	9.27272727272727
31.2813	14	9.54545454545455
31.3116	5	9.27272727272727
31.3419	12	9
31.3723	9	9.09090909090909
31.4026	8	9.18181818181818
31.4329	16	9.63636363636364
31.4632	8	9.81818181818182
31.4935	10	10
31.5239	7	9.81818181818182
31.5542	7	9.81818181818182
31.5845	10	9.81818181818182
31.6148	16	8.90909090909091
31.6451	7	8.81818181818182
31.6754	10	8.36363636363636
31.7058	9	8.54545454545455
31.7361	8	8.81818181818182
31.7664	6	9.09090909090909
31.7967	7	8.36363636363636
31.827	5	8.63636363636364
31.8574	9	8.81818181818182
31.8877	10	9
31.918	13	9.90909090909091
31.9483	8	10.7272727272727
31.9786	10	11
32.009	12	11.7272727272727
32.0393	11	11.6363636363636
32.0696	18	11.9090909090909
32.0999	15	11.4545454545455
32.1302	10	11.7272727272727
32.1606	13	11.5454545454545
32.1909	8	11.4545454545455
32.2212	13	10.7272727272727
32.2515	8	10.2727272727273
32.2818	11	9.90909090909091
32.3121	8	9.90909090909091
32.3425	11	9.36363636363636
32.3728	3	9.36363636363636
32.4031	13	9
32.4334	11	8.72727272727273
32.4637	10	8.63636363636364
32.4941	7	9.18181818181818
32.5244	8	9.18181818181818
32.5547	9	10.3636363636364
32.585	5	9.90909090909091
32.6153	10	9.90909090909091
32.6457	14	9.90909090909091
32.676	11	10.2727272727273
32.7063	16	10.4545454545455
32.7366	8	10.3636363636364
32.7669	11	10.8181818181818
32.7973	10	10.4545454545455
32.8276	11	10.4545454545455
32.8579	10	10
32.8882	8	9.18181818181818
32.9185	10	9.09090909090909
32.9488	6	9.18181818181818
32.9792	14	9.54545454545455
33.0095	6	9.45454545454546
33.0398	7	9.54545454545455
33.0701	7	9.27272727272727
33.1004	12	9.09090909090909
33.1308	14	9.63636363636364
33.1611	10	9.09090909090909
33.1914	11	9.54545454545455
33.2217	5	9.72727272727273
33.252	8	10
33.2824	12	9.90909090909091
33.3127	8	9.27272727272727
33.343	11	9.63636363636364
33.3733	9	9.18181818181818
33.4036	10	9.90909090909091
33.434	11	10
33.4643	7	9.90909090909091
33.4946	14	10.6363636363636
33.5249	6	10.8181818181818
33.5552	13	11.0909090909091
33.5855	9	11.5454545454545
33.6159	11	11.8181818181818
33.6462	16	12.0909090909091
33.6765	13	12.1818181818182
33.7068	12	12.9090909090909
33.7371	15	13.1818181818182
33.7675	14	13.6363636363636
33.7978	10	14.1818181818182
33.8281	15	13.8181818181818
